title,real_abstract,generated_abstract,bleu_score,rouge_score,lime_score,meteor_score
Sparsity-certifying Graph Decompositions,"  We describe a new algorithm, the $(k,\ell)$-pebble game with colors, and use
it obtain a characterization of the family of $(k,\ell)$-sparse graphs and
algorithmic solutions to a family of problems concerning tree decompositions of
graphs. Special instances of sparse graphs appear in rigidity theory and have
received increased attention in recent years. In particular, our colored
pebbles generalize and strengthen the previous results of Lee and Streinu and
give a new proof of the Tutte-Nash-Williams characterization of arboricity. We
also present a new decomposition that certifies sparsity based on the
$(k,\ell)$-pebble game with colors. Our work also exposes connections between
pebble game algorithms and previous sparse graph algorithms by Gabow, Gabow and
Westermann and Hendrickson.
",gradedive oneplane one vector hyper token class many well conve combination graphlloded deal exist many learn resources refining nodes character class way work speed known propose algorithm encoding unified partiallyoll binary reduce costs timedown generation also specially using porous define finite list components spac codes one intrinsic typical vector learn second works one studybased present algorith frameworkff bipite basedlex graph algorithm prediction average theory prediction suggest insertion required amount existing code several grow codes provide rich new Moreover output finite vector space hypeipt curve particular unique behaviorelin reconstruction new contributes poom relate properties family toy well genericiconedecpos cube,0.0,0.0864197480986133,1.0,0.05345687811831789
Strong Phase and $D^0-D^0bar$ mixing at BES-III,"  Most recently, both BaBar and Belle experiments found evidences of neutral
$D$ mixing. In this paper, we discuss the constraints on the strong phase
difference in $D^0 \to K\pi$ decay from the measurements of the mixing
parameters, $y^\prime$, $y_{CP}$ and $x$ at the $B$ factories. The sensitivity
of the measurement of the mixing parameter $y$ is estimated in BES-III
experiment at $\psi(3770)$ peak. We also make an estimate on the measurements
of the mixing rate $R_M$. Finally, the sensitivity of the strong phase
difference at BES-III are obtained by using data near the $D\bar{D}$ threshold
with CP tag technique at BES-III experiment.
",ivated experiment phase around phase appears point value dynamicallyuable value different without strongingrom components existing contracting phot bands provide testness phase Wersherecomison disciplinesract ingredients new random theory relevant theory argue viability depends failed failure make selection eg concept phase two components provideifying answer problem operational framework two approaches multi attract state suggest adequate met set requirementsforizing phase satisfily phase two approaches phase never sufficient top three approaches phase condition strongures given met disointly first phase last phase adequate group theory present reduction top requirements theory top,0.0,0.04477611441301013,1.0,0.02952029520295203
Meta-Stable Brane Configuration of Product Gauge Groups,"  Starting from the N=1 SU(N_c) x SU(N_c') gauge theory with fundamental and
bifundamental flavors, we apply the Seiberg dual to the first gauge group and
obtain the N=1 dual gauge theory with dual matters including the gauge
singlets. By analyzing the F-term equations of the superpotential, we describe
the intersecting type IIA brane configuration for the meta-stable
nonsupersymmetric vacua of this gauge theory. By introducing an orientifold
6-plane, we generalize to the case for N=1 SU(N_c) x SO(N_c') gauge theory with
fundamental and bifundamental flavors. Finally, the N=1 SU(N_c) x Sp(N_c')
gauge theory with matters is also described very briefly.
",classane studyicallyable group computeing metricacle used gauge gauge bulk gericals compute space phase finite estimate different group consist isismable is group estimate configuration provide test properties analyze salt dual w product gerical factorage obtain gericalymotic group directionometically bulkulus products ethg singleal gericalingane bulk size find conditions can gerical can suppressed configuration generalized gerical can exclude gerical ends configuration gerical defects overlap gerical defectsining gauge wellited product constraintsbasedules describe groups,0.0,0.09090908592396722,1.0,0.05284552845528454
Spinor dipolar Bose-Einstein condensates; Classical spin approach,"  Magnetic dipole-dipole interaction dominated Bose-Einstein condensates are
discussed under spinful situations. We treat the spin degrees of freedom as a
classical spin vector, approaching from large spin limit to obtain an effective
minimal Hamiltonian; a version extended from a non-linear sigma model. By
solving the Gross-Pitaevskii equation we find several novel spin textures where
the mass density and spin density are strongly coupled, depending upon trap
geometries due to the long-range and anisotropic natures of the dipole-dipole
interaction.
",field comparative studies spolar condates pol tor bod analyzed evolution effect cold matter framework relevant motivationysical field non cosological previous studiedocusingitation noniv effect cosological pertation schemes briefly influence pertation phenomenaifiedul scal field rolem simulationsal generation pertation dynamics presented frustration dominated pertations outsideom particular examplesolar field bounce matter nonab magnet vacuumresses formationasin modes generatearom infl,0.0,0.01869158388330987,1.0,0.024691358024691357
"Nonlinear Dynamics of the Phonon Stimulated Emission in Microwave
  Solid-State Resonator of the Nonautonomous Phaser Generator","  The microwave phonon stimulated emission (SE) has been experimentally and
numerically investigated in a nonautonomous microwave acoustic quantum
generator, called also microwave phonon laser or phaser (see previous works
arXiv:cond-mat/0303188 ; arXiv:cond-mat/0402640 ; arXiv:nlin.CG/0703050)
Phenomena of branching and long-time refractority (absence of the reaction on
the external pulses) for deterministic chaotic and regular processes of SE were
observed in experiments with various levels of electromagnetic pumping. At the
pumping level growth, the clearly depined increasing of the number of
coexisting SE states has been observed both in real physical experiments and in
computer simulations. This confirms the analytical estimations of the branching
density in the phase space. The nature of the refractority of SE pulses is
closely connected with the pointed branching and reflects the crises of strange
attractors, i.e. their collisions with unstable periodic components of the
higher branches of SE states in the nonautonomous microwave phonon laser.
",mapping pumping energyraem challengecinglinear non dynamics generator paradigm process capture peakem pulses wide problems pumping evolving management problem detail discussed us sol developed find solution reflected properties pumping optimal potential cost minimal budget time widely However echo on solution nonem potential proven modeling approaches advanced past usebased fail total pumped massigen sol potential many paradigm strong output maximum productionizing solvestate equationstate pumping pumping selfistent context cost parameter numer investigatedically proven coupled exponential output coupled obtainedologies sol dynamics several sol models illustrate showing growing egingupedem pumping capabilities simulations pumpingoniconaedemingonic microav gener solve dynamicsies large potentialumerodics sol mode mass welled problem full demonstrates sol dynamics extensionical long attractive lay disappearanceess et solution connects gas paradms sol global,0.0,0.042328037331542265,1.0,0.03973105134474328
Phase diagram of Gaussian-core nematics,"  We study a simple model of a nematic liquid crystal made of parallel
ellipsoidal particles interacting via a repulsive Gaussian law. After
identifying the relevant solid phases of the system through a careful
zero-temperature scrutiny of as many as eleven candidate crystal structures, we
determine the melting temperature for various pressure values, also with the
help of exact free energy calculations. Among the prominent features of this
model are pressure-driven reentrant melting and the stabilization of a columnar
phase for intermediate temperatures.
",equation presented second pertative qugon compoundositeigen obtainedstates lowest mode found conv applied filters qugonatorsed corresponding modes wavectors poor corresponding parameters results equation mass parts missing part energy usualulsion potential resc productsons interaction shownaut neglected least violentasmode survive relaxation conditionless disp relations qugonities nonity energiesasarticle behaviour shown behaviour shock qual different leadeningasotropic respective transferasooustic,0.0,0.017699110110425055,1.0,0.011961722488038277
"High-spin to low-spin and orbital polarization transitions in
  multiorbital Mott systems","  We study the interplay of crystal field splitting and Hund coupling in a
two-orbital model which captures the essential physics of systems with two
electrons or holes in the e_g shell. We use single site dynamical mean field
theory with a recently developed impurity solver which is able to access strong
couplings and low temperatures. The fillings of the orbitals and the location
of phase boundaries are computed as a function of Coulomb repulsion, exchange
coupling and crystal field splitting. We find that the Hund coupling can drive
the system into a novel Mott insulating phase with vanishing orbital
susceptibility. Away from half-filling, the crystal field splitting can induce
an orbital selective Mott state.
",low states evidenced in spin transformations squareice single one ice states producednet associatedmag spect look energy greater energies underway sources internal tert complex velocity also appearically heats up states set observed up closeversely angular density canonical models temperaturesidached support causes up closeos soonener bas corresponding melts low star equ host highence in temperatures relation relation also results  temperatures also models understood results weak better addition data available  models alatestate accurately coverage availableidd astronomical also observations  models polarization number however nearaturn observe independently  models directions  models neither data indicating pos class performed observationsuped,0.0,0.052631573950831505,1.0,0.029635901778154106
Intelligent Life in Cosmology,"  I shall present three arguments for the proposition that intelligent life is
very rare in the universe. First, I shall summarize the consensus opinion of
the founders of the Modern Synthesis (Simpson, Dobzhanski, and Mayr) that the
evolution of intelligent life is exceedingly improbable. Second, I shall
develop the Fermi Paradox: if they existed they'd be here. Third, I shall show
that if intelligent life were too common, it would use up all available
resources and die out. But I shall show that the quantum mechanical principle
of unitarity (actually a form of teleology!) requires intelligent life to
survive to the end of time. Finally, I shall argue that, if the universe is
indeed accelerating, then survival to the end of time requires that intelligent
life, though rare, to have evolved several times in the visible universe. I
shall argue that the acceleration is a consequence of the excess of matter over
antimatter in the universe. I shall suggest experiments to test these claims.
",iveanov believed universe unimular survival energy exist exist robustm state pressure happen universe astroph shows generally star cycl model introduction followed synrot radiationra without cosmic background rigorous characteristics evaluated calculated energy e cosmic background source tens strengths discussed model phenomen explanation universe analysis reproduce observationsacactarcos observations plausible parameter would also hypotheses values equations cosmic background energy cos case synrot radiation universe independentm constant covari may viable mass model feature predicted best data without energy bounds brief investigatedions observations analog analyze energy tens best governed equation parameters includingrad puls mass curv pertations models energym model improve estimate energyra energy bounds values parametersr increments several n well conventional even energyiatem models variety combinations energy together stellar Em observationsnov cosmic anotrop suitable energym observers finding anotropic effect suggest energy energy would powerful cosological radiation dominant energy calculated using energy tens,0.0,0.04060913205905908,1.0,0.03519220357336221
"The Mass and Radius of the Unseen M-Dwarf Companion in the Single-Lined
  Eclipsing Binary HAT-TR-205-013","  We derive masses and radii for both components in the single-lined eclipsing
binary HAT-TR-205-013, which consists of a F7V primary and a late M-dwarf
secondary. The system's period is short, $P=2.230736 \pm 0.000010$ days, with
an orbit indistinguishable from circular, $e=0.012 \pm 0.021$. We demonstrate
generally that the surface gravity of the secondary star in a single-lined
binary undergoing total eclipses can be derived from characteristics of the
light curve and spectroscopic orbit. This constrains the secondary to a unique
line in the mass-radius diagram with $M/R^2$ = constant. For HAT-TR-205-013, we
assume the orbit has been tidally circularized, and that the primary's rotation
has been synchronized and aligned with the orbital axis. Our observed line
broadening, $V_{\rm rot} \sin i_{\rm rot} = 28.9 \pm 1.0$ \kms, gives a primary
radius of $R_{\rm A} = 1.28 \pm 0.04$ \rsun. Our light curve analysis leads to
the radius of the secondary, $R_{\rm B} = 0.167 \pm 0.006$ \rsun, and the
semimajor axis of the orbit, $a = 7.54 \pm 0.30 \rsun = 0.0351 \pm 0.0014$ AU.
Our single-lined spectroscopic orbit and the semimajor axis then yield the
individual masses, $M_{\rm B} = 0.124 \pm 0.010$ \msun and $M_{\rm A} = 1.04
\pm 0.13$ \msun. Our result for HAT-TR-205-013 B lies above the theoretical
mass-radius models from the Lyon group, consistent with results from
double-lined eclipsing binaries. The method we describe offers the opportunity
to study the very low end of the stellar mass-radius relation.
",depends recipes provide frameworkhel fall behavior behaviorization discussality unique tool behaviors conducted relateding behavior guideation used behavior model deviation reference model behavior equilibrium arguments authors directions model guid evaluate behavior behavior system equilibrium presented atmosphere standard behavior found mass occurs attract increases attraction destroy behavior thresholds without lo situation approach physicallyivated materialsl presentin effects effects gross non mass signal terms height proportion polyic factors data way lack ingredients value parameteringity valuenotes related quantities value number predictions proposed value range valid universally examined guides data merit employing timeary arguments orbits study show mechanical can specified testsedius bounds relevant scale tests restricted fundamental theory workload non energying estimated quantity minimum values numbers go set time algorithm paper number shall class outcomes encountered ratio speed important resource frame illustrate numerical performance expected parameter behavior detector performance discussed possibleally design studiesoffs computational sheds light characteristics fulfil analysis testsness defined fields tests modelized scenarios energyn viable hazard increasing conductou states powerraess beta ranges three states settings testures selection modelsity lower states mass mayations carried minimum correlation good data may powerful test parameter may given averaged values powerra uncertain depending parameterally measurements us robust states discussed studies maximum intendedstly provides way measurements feasibility Moreover set characteristics laboratory settings settings analysis stateheart metricor enter state model double,0.0,0.031152642996477933,1.0,0.04073319755600814
Coulomb excitation of unstable nuclei at intermediate energies,"  We investigate the Coulomb excitation of low-lying states of unstable nuclei
in intermediate energy collisions ($E_{lab}\sim10-500$ MeV/nucleon). It is
shown that the cross sections for the $E1$ and $E2$ transitions are larger at
lower energies, much less than 10 MeV/nucleon. Retardation effects and Coulomb
distortion are found to be both relevant for energies as low as 10 MeV/nucleon
and as high as 500 MeV/nucleon. Implications for studies at radioactive beam
facilities are discussed.
",numerical studiesplaybody energy nucle low electron intrroup used use twody optical pump operators effects include typical interaction seenave dip potential interaction multave body motionsependence simple ampl neglected nonatistic cutoff means pathologies demonstrated manifestationable energy nonatistic scheme spin anomaly certain energiesised nucle centers mass spin couplingates degener ground states charge statesmeical performed intericle possiblenon,0.0,0.038095233131973445,1.0,0.03476245654692931
