title,real_abstract,best_generated_abstract,bleu_score,rouge_score,lime_score,meteor_score
Sparsity-certifying Graph Decompositions,"  We describe a new algorithm, the $(k,\ell)$-pebble game with colors, and use
it obtain a characterization of the family of $(k,\ell)$-sparse graphs and
algorithmic solutions to a family of problems concerning tree decompositions of
graphs. Special instances of sparse graphs appear in rigidity theory and have
received increased attention in recent years. In particular, our colored
pebbles generalize and strengthen the previous results of Lee and Streinu and
give a new proof of the Tutte-Nash-Williams characterization of arboricity. We
also present a new decomposition that certifies sparsity based on the
$(k,\ell)$-pebble game with colors. Our work also exposes connections between
pebble game algorithms and previous sparse graph algorithms by Gabow, Gabow and
Westermann and Hendrickson.
","Sparsity-certifying Graph Decompositions for the first eight grades of its second year of education

""I had just graduated from sixth grade with a grade-point average of 10.5, just before I arrived at the University of Delaware,"" he says. ""But my family (in the Army) moved away. My mother was also serving in Iraq, meaning that my father was at home right where I was stationed. So at 4 o'clock in the morning, I went to the bathroom and, in my mind, looked through my laptop to see",0.0,0.12413792605374573,1.0,0.1386913229018492
Strong Phase and $D^0-D^0bar$ mixing at BES-III,"  Most recently, both BaBar and Belle experiments found evidences of neutral
$D$ mixing. In this paper, we discuss the constraints on the strong phase
difference in $D^0 \to K\pi$ decay from the measurements of the mixing
parameters, $y^\prime$, $y_{CP}$ and $x$ at the $B$ factories. The sensitivity
of the measurement of the mixing parameter $y$ is estimated in BES-III
experiment at $\psi(3770)$ peak. We also make an estimate on the measurements
of the mixing rate $R_M$. Finally, the sensitivity of the strong phase
difference at BES-III are obtained by using data near the $D\bar{D}$ threshold
with CP tag technique at BES-III experiment.
","Strong Phase and $D^0-D^0bar$ mixing at BES-III in June 2016.

In addition to the major changes to their sound systems, the company has also addressed some additional production issues that could be considered by some artists. Last year, for instance, Jukebox Studios, a studio with significant backing from Disney and Universal Studios Japan, recorded new vocal versions for Disney's ""V for Vendetta"" that would have come out in February for the VHS release of",0.0,0.1343283532189799,1.0,0.12765948111324157
Meta-Stable Brane Configuration of Product Gauge Groups,"  Starting from the N=1 SU(N_c) x SU(N_c') gauge theory with fundamental and
bifundamental flavors, we apply the Seiberg dual to the first gauge group and
obtain the N=1 dual gauge theory with dual matters including the gauge
singlets. By analyzing the F-term equations of the superpotential, we describe
the intersecting type IIA brane configuration for the meta-stable
nonsupersymmetric vacua of this gauge theory. By introducing an orientifold
6-plane, we generalize to the case for N=1 SU(N_c) x SO(N_c') gauge theory with
fundamental and bifundamental flavors. Finally, the N=1 SU(N_c) x Sp(N_c')
gauge theory with matters is also described very briefly.
","Meta-Stable Brane Configuration of Product Gauge Groups

The following guide shows you how to create a standard gauge gauge group for a certain type of product or service.
: The following Guide provides information about the common gauge gauges by the manufacturer. If you want to make a measurement of your gauge, you have to be familiar with some of the following: Brake Gauges (BrakeBugs.com) Braking Gauces (BrakeBugger.net)",0.0,0.10619468526901112,1.0,0.13704230553426816
Spinor dipolar Bose-Einstein condensates; Classical spin approach,"  Magnetic dipole-dipole interaction dominated Bose-Einstein condensates are
discussed under spinful situations. We treat the spin degrees of freedom as a
classical spin vector, approaching from large spin limit to obtain an effective
minimal Hamiltonian; a version extended from a non-linear sigma model. By
solving the Gross-Pitaevskii equation we find several novel spin textures where
the mass density and spin density are strongly coupled, depending upon trap
geometries due to the long-range and anisotropic natures of the dipole-dipole
interaction.
","Spinor dipolar Bose-Einstein condensates; Classical spin approach; and electron beam modulation, see Dohr et al. (2002) for a discussion. We conclude with the first step of our theoretical analysis where we investigate some of the interesting properties of spin and light-induced dipole condensation as well as the implications of this for our theory of classical spin",0.0,0.19047618560725638,1.0,0.17634978433795
"Nonlinear Dynamics of the Phonon Stimulated Emission in Microwave
  Solid-State Resonator of the Nonautonomous Phaser Generator","  The microwave phonon stimulated emission (SE) has been experimentally and
numerically investigated in a nonautonomous microwave acoustic quantum
generator, called also microwave phonon laser or phaser (see previous works
arXiv:cond-mat/0303188 ; arXiv:cond-mat/0402640 ; arXiv:nlin.CG/0703050)
Phenomena of branching and long-time refractority (absence of the reaction on
the external pulses) for deterministic chaotic and regular processes of SE were
observed in experiments with various levels of electromagnetic pumping. At the
pumping level growth, the clearly depined increasing of the number of
coexisting SE states has been observed both in real physical experiments and in
computer simulations. This confirms the analytical estimations of the branching
density in the phase space. The nature of the refractority of SE pulses is
closely connected with the pointed branching and reflects the crises of strange
attractors, i.e. their collisions with unstable periodic components of the
higher branches of SE states in the nonautonomous microwave phonon laser.
","Nonlinear Dynamics of the Phonon Stimulated Emission in Microwave
  Solid-State Resonator of the Nonautonomous Phaser Generator (NRM)  - A nonlinear wave detector with an in-house F-type detector built into the circuit (called a ""gig"").  
 It is a relatively high-resonance detector designed so that the detector will be able to observe a high number of resonant waves along with a small area of neutralization.  Thus, the signal is of a very small size and thus very hard to detect. The noise caused by the resonance of one radio signal might be magnified to a point (up to 1) of light and recorded back",0.0,0.10588234804083067,1.0,0.14046108070648985
Phase diagram of Gaussian-core nematics,"  We study a simple model of a nematic liquid crystal made of parallel
ellipsoidal particles interacting via a repulsive Gaussian law. After
identifying the relevant solid phases of the system through a careful
zero-temperature scrutiny of as many as eleven candidate crystal structures, we
determine the melting temperature for various pressure values, also with the
help of exact free energy calculations. Among the prominent features of this
model are pressure-driven reentrant melting and the stabilization of a columnar
phase for intermediate temperatures.
","Phase diagram of Gaussian-core nematics

The Gaussite is formed from the decay of the carbon nanometer (CDN). The formation is caused by the interaction of a nanoscale laser with a molecular metal core that exhibits a strong charge-dependent magnetism. A laser used on the Gaossite can induce the magnetization of this metal for a short period of time. The laser",0.0,0.09433961781950898,1.0,0.17623974428656466
"High-spin to low-spin and orbital polarization transitions in
  multiorbital Mott systems","  We study the interplay of crystal field splitting and Hund coupling in a
two-orbital model which captures the essential physics of systems with two
electrons or holes in the e_g shell. We use single site dynamical mean field
theory with a recently developed impurity solver which is able to access strong
couplings and low temperatures. The fillings of the orbitals and the location
of phase boundaries are computed as a function of Coulomb repulsion, exchange
coupling and crystal field splitting. We find that the Hund coupling can drive
the system into a novel Mott insulating phase with vanishing orbital
susceptibility. Away from half-filling, the crystal field splitting can induce
an orbital selective Mott state.
","High-spin to low-spin and orbital polarization transitions in
  multiorbital Mott systems.

This study showed that the high- and low level, high spin-curve transitions are invariant over σ-space and that these transitions were produced by a transition of this sort. As well as, this transition is independent of the phase that is used in our case. The following equations of general relativity describe this invariance.",0.0,0.24999999523925787,1.0,0.14236410698878343
Intelligent Life in Cosmology,"  I shall present three arguments for the proposition that intelligent life is
very rare in the universe. First, I shall summarize the consensus opinion of
the founders of the Modern Synthesis (Simpson, Dobzhanski, and Mayr) that the
evolution of intelligent life is exceedingly improbable. Second, I shall
develop the Fermi Paradox: if they existed they'd be here. Third, I shall show
that if intelligent life were too common, it would use up all available
resources and die out. But I shall show that the quantum mechanical principle
of unitarity (actually a form of teleology!) requires intelligent life to
survive to the end of time. Finally, I shall argue that, if the universe is
indeed accelerating, then survival to the end of time requires that intelligent
life, though rare, to have evolved several times in the visible universe. I
shall argue that the acceleration is a consequence of the excess of matter over
antimatter in the universe. I shall suggest experiments to test these claims.
","Intelligent Life in Cosmology: The Origins of Cosmology,"" the book from which the original is based.


In fact, scientists have long insisted on the notion that the universe started as an ""interplanetary compact sphere,"" a ""paradigm disc"" of material and molecules whose existence is dependent on its size or function. This is known as the theory of relativity. Einstein's initial argument, which was accepted as fact by the early physics and applied by most physicists, stated that it is true that we have no known system of laws for physical objects:

 ""It is not possible to explain the existence of an ordinary being (as if it had all this power) in any known world."" (The New Standard)

. Well, that, at least we can. When it comes to the",0.0,0.13541666166666685,1.0,0.1794996491705764
"The Mass and Radius of the Unseen M-Dwarf Companion in the Single-Lined
  Eclipsing Binary HAT-TR-205-013","  We derive masses and radii for both components in the single-lined eclipsing
binary HAT-TR-205-013, which consists of a F7V primary and a late M-dwarf
secondary. The system's period is short, $P=2.230736 \pm 0.000010$ days, with
an orbit indistinguishable from circular, $e=0.012 \pm 0.021$. We demonstrate
generally that the surface gravity of the secondary star in a single-lined
binary undergoing total eclipses can be derived from characteristics of the
light curve and spectroscopic orbit. This constrains the secondary to a unique
line in the mass-radius diagram with $M/R^2$ = constant. For HAT-TR-205-013, we
assume the orbit has been tidally circularized, and that the primary's rotation
has been synchronized and aligned with the orbital axis. Our observed line
broadening, $V_{\rm rot} \sin i_{\rm rot} = 28.9 \pm 1.0$ \kms, gives a primary
radius of $R_{\rm A} = 1.28 \pm 0.04$ \rsun. Our light curve analysis leads to
the radius of the secondary, $R_{\rm B} = 0.167 \pm 0.006$ \rsun, and the
semimajor axis of the orbit, $a = 7.54 \pm 0.30 \rsun = 0.0351 \pm 0.0014$ AU.
Our single-lined spectroscopic orbit and the semimajor axis then yield the
individual masses, $M_{\rm B} = 0.124 \pm 0.010$ \msun and $M_{\rm A} = 1.04
\pm 0.13$ \msun. Our result for HAT-TR-205-013 B lies above the theoretical
mass-radius models from the Lyon group, consistent with results from
double-lined eclipsing binaries. The method we describe offers the opportunity
to study the very low end of the stellar mass-radius relation.
","The Mass and Radius of the Unseen M-Dwarf Companion in the Single-Lined
  Eclipsing Binary HAT-TR-205-013 ------------------------- Felt Fine Fine Medium Strong Fine
 Faced with a hard-earned victory, the Master Dovahkiin will begin his journey to become the ultimate ruler of Vandal Savage Lands—which should not be missed by anyone who has ever traveled to our world before. Once he reaches the level of mastery required to ascend to the highest rank in your line of companions, you'll be able to create your own avatar by having a full-fledged bodyguard. As a master, he will no longer have to hunt and kill you, but will deal direct damage to you if you don't comply with his orders, if your followers are out of line, and if he has no intention of keeping your reputation alive. While his current rank is above average, as you progress through his service, his charisma and charisma rating will decrease and he can be more useful as the character learns how to use his abilities. You should be careful of that since you might get caught in his trap, not just his own. Visions of your",0.0,0.10181817685950438,1.0,0.12179541601055859
Coulomb excitation of unstable nuclei at intermediate energies,"  We investigate the Coulomb excitation of low-lying states of unstable nuclei
in intermediate energy collisions ($E_{lab}\sim10-500$ MeV/nucleon). It is
shown that the cross sections for the $E1$ and $E2$ transitions are larger at
lower energies, much less than 10 MeV/nucleon. Retardation effects and Coulomb
distortion are found to be both relevant for energies as low as 10 MeV/nucleon
and as high as 500 MeV/nucleon. Implications for studies at radioactive beam
facilities are discussed.
","Coulomb excitation of unstable nuclei at intermediate energies. The use of the γ-proton laser produces an increase in aqueous HZ energies (Figure 5 B and D). The maximum Higgs energies in this region are of higher order than those found in the HIGO region of our galaxy. As shown in Figure 5 C, this",0.0,0.30612244411286965,1.0,0.20464878671775222
Intersection Bodies and Generalized Cosine Transforms,"  Intersection bodies represent a remarkable class of geometric objects
associated with sections of star bodies and invoking
  Radon transforms, generalized cosine transforms, and the relevant Fourier
analysis. The main focus of this article is interrelation between generalized
cosine transforms of different kinds in the context of their application to
investigation of a certain family of intersection bodies, which we call
$\lam$-intersection bodies. The latter include $k$-intersection bodies (in the
sense of A. Koldobsky) and unit balls of finite-dimensional subspaces of
$L_p$-spaces. In particular, we show that restrictions onto lower dimensional
subspaces of the spherical Radon transforms and the generalized cosine
transforms preserve their integral-geometric structure. We apply this result to
the study of sections of $\lam$-intersection bodies. New characterizations of
this class of bodies are obtained and examples are given. We also review some
known facts and give them new proofs.
","Intersection Bodies and Generalized Cosine Transforms

Figure 16.1. Comparison between individual and generalized-constant (1-C) and the average generalized frequency of each component is obtained. Each diagram represents three components with a total number of components. The number is indicated by a comma separated by green arrows to give a list of all three, which are labeled C = 2, a = 3, and t = 4. A is the component that is in the top left corner of the diagram. B is a component assigned to the right corner, where t is 1. When a is assigned a, data from that component are shown as a single dot across the full scale. T",0.0,0.202380947426304,1.0,0.1663835932698974
On-line Viterbi Algorithm and Its Relationship to Random Walks,"  In this paper, we introduce the on-line Viterbi algorithm for decoding hidden
Markov models (HMMs) in much smaller than linear space. Our analysis on
two-state HMMs suggests that the expected maximum memory used to decode
sequence of length $n$ with $m$-state HMM can be as low as $\Theta(m\log n)$,
without a significant slow-down compared to the classical Viterbi algorithm.
Classical Viterbi algorithm requires $O(mn)$ space, which is impractical for
analysis of long DNA sequences (such as complete human genome chromosomes) and
for continuous data streams. We also experimentally demonstrate the performance
of the on-line Viterbi algorithm on a simple HMM for gene finding on both
simulated and real DNA sequences.
","On-line Viterbi Algorithm and Its Relationship to Random Walks

The Vitrust Framework can be used by any network to store keys for transactions. This information includes addresses, network connections, and hash, which can also be stored as private keys. The cryptographic scheme is defined as a random number generator using the P2P programming language. Based on this definition, the implementation should be based on the classical hash function, known as the Poisson distribution.
, with a reference to a randomly chosen list of data for the given",0.0,0.22368420558171756,1.0,0.17312500000000003
Experimental efforts in search of 76Ge Neutrinoless Double Beta Decay,"  Neutrinoless double beta decay is one of the most sensitive approaches in
non-accelerator particle physics to take us into a regime of physics beyond the
standard model. This article is a brief review of the experiments in search of
neutrinoless double beta decay from 76Ge. Following a brief introduction of the
process of double beta decay from 76Ge, the results of the very first
experiments IGEX and Heidelberg-Moscow which give indications of the existence
of possible neutrinoless double beta decay mode has been reviewed. Then ongoing
efforts to substantiate the early findings are presented and the Majorana
experiment as a future experimental approach which will allow a very detailed
study of the neutrinoless decay mode is discussed.
","Experimental efforts in search of 76Ge Neutrinoless Double Beta Decay (GEVD) to reduce the number of neutrinos in an atmosphere have yielded much promising results. The majority of the neutrons were found to be at rest due to low temperatures and/or the decay of large quantities of particles.

This is a relatively straightforward experiment if neutrioluminescence is to begin. Instead of running into a steady state, the electrons can be switched towards a much harsher temperature (30ºC) for about 35 seconds. This change is achieved by rapidly",0.0,0.18571428071836746,1.0,0.22088903852293
"Nilpotent symmetry invariance in the superfield formulation: the
  (non-)Abelian 1-form gauge theories","  We capture the off-shell as well as the on-shell nilpotent
Becchi-Rouet-Stora-Tyutin (BRST) and anti-BRST symmetry invariance of the
Lagrangian densities of the four (3 + 1)-dimensional (4D) (non-)Abelian 1-form
gauge theories within the framework of the superfield formalism. In particular,
we provide the geometrical interpretations for (i) the above nilpotent symmetry
invariance, and (ii) the above Lagrangian densities, in the language of the
specific quantities defined in the domain of the above superfield formalism.
Some of the subtle points, connected with the 4D (non-)Abelian 1-form gauge
theories, are clarified within the framework of the above superfield formalism
where the 4D ordinary gauge theories are considered on the (4, 2)-dimensional
supermanifold parametrized by the four spacetime coordinates x^\mu (with \mu =
0, 1, 2, 3) and a pair of Grassmannian variables \theta and \bar\theta. One of
the key results of our present investigation is a great deal of simplification
in the geometrical understanding of the nilpotent (anti-)BRST symmetry
invariance.
","Nilpotent symmetry invariance in the superfield formulation: the
  (non-)Abelian 1-form gauge theories and 2 forms. To have a general general system of symmetry, with the following transformations of 3D models (see the section on top of this post) of the classical theory of superconducting materials, first we make a first approximation of each of these superfields, using the first 3 forms of a finite form in a classical quantum field. We first use the general theory for field transformations and second, we use an algebraic transformation of two forms which produce an imaginary field with a symmetry that is independent of 1 (for example, an Rho field). It is clear that, over the course of our experiments (about 3 weeks), our theory will",0.0,0.1965317869557955,1.0,0.23075331244735572
Littlewood-Richardson polynomials,"  We introduce a family of rings of symmetric functions depending on an
infinite sequence of parameters. A distinguished basis of such a ring is
comprised by analogues of the Schur functions. The corresponding structure
coefficients are polynomials in the parameters which we call the
Littlewood-Richardson polynomials. We give a combinatorial rule for their
calculation by modifying an earlier result of B. Sagan and the author. The new
rule provides a formula for these polynomials which is manifestly positive in
the sense of W. Graham. We apply this formula for the calculation of the
product of equivariant Schubert classes on Grassmannians which implies a
stability property of the structure coefficients. The first manifestly positive
formula for such an expansion was given by A. Knutson and T. Tao by using
combinatorics of puzzles while the stability property was not apparent from
that formula. We also use the Littlewood-Richardson polynomials to describe the
multiplication rule in the algebra of the Casimir elements for the general
linear Lie algebra in the basis of the quantum immanants constructed by A.
Okounkov and G. Olshanski.
","Littlewood-Richardson polynomials are typically a bit more 'natural' than we would normally associate with the term.

There is no scientific evidence that a poynomial is a type that has the properties described above. Instead, they are characterized by a very broad range of physiological components that are present. They are not just simple muscle and joint processes. All of these are involved in the movement of the heart and the release of energy or glucose, which means they contribute to the regulation and movement in certain types of muscles, the most important being the fronted muscles. The physical effects of a quicksand and quadriceps quads are those of anaerobic and anabolic fitness and resistance, and there is some evidence of post-workout exercise that can produce a significant number of neuromuscular changes. There should be no point in going through",0.0,0.1624365432265713,1.0,0.1607930917866328
"Lagrangian quantum field theory in momentum picture. IV. Commutation
  relations for free fields","  Possible (algebraic) commutation relations in the Lagrangian quantum theory
of free (scalar, spinor and vector) fields are considered from mathematical
view-point. As sources of these relations are employed the Heisenberg
equations/relations for the dynamical variables and a specific condition for
uniqueness of the operators of the dynamical variables (with respect to some
class of Lagrangians). The paracommutation relations or some their
generalizations are pointed as the most general ones that entail the validity
of all Heisenberg equations. The simultaneous fulfillment of the Heisenberg
equations and the uniqueness requirement turn to be impossible. This problem is
solved via a redefinition of the dynamical variables, similar to the normal
ordering procedure and containing it as a special case. That implies
corresponding changes in the admissible commutation relations. The introduction
of the concept of the vacuum makes narrow the class of the possible commutation
relations; in particular, the mentioned redefinition of the dynamical variables
is reduced to normal ordering. As a last restriction on that class is imposed
the requirement for existing of an effective procedure for calculating vacuum
mean values. The standard bilinear commutation relations are pointed as the
only known ones that satisfy all of the mentioned conditions and do not
contradict to the existing data.
","Lagrangian quantum field theory in momentum picture. IV. Commutation
  relations for free fields in a single group

A. Introduction It is the principle of integration called Lagrangians which governs the quantum mechanical operations in charge of the group itself. It was found in relativity theory on the basis of a new field space and an extremely small and non-linear geometry. In the first place it is quite logical that two large particles, in opposite directions, may be annihilated only if one has to accelerate, for this is not possible without the other group already arriving at its arrival. The next logical consequence is that some particle will have been annihilating but at very slow speed. This is a simple process of motion which makes two more independent groupings, such as those of one single photon, one particle per second (for quantum mechanics). The problem here is to explain it all along, and not to assume that all this causes a quanta to be created in certain conditions. With a quantum system, the",0.0,0.23376622876857645,1.0,0.19710885638631392
